X--Trace 1::[V(vout)],Y--Trace 1::[V(vout)]
0.002741945,-0.349843548
0.00275,-0.353594159
0.00275,-0.353594152
0.00275,-0.353594038
0.002750001,-0.353593209
0.002750001,-0.353592062
0.002750001,-0.353591761
0.002750001,-0.353591285
0.002750002,-0.353591102
0.002750002,-0.353592523
0.002750002,-0.35359287
0.002750002,-0.353593565
0.002750002,-0.353594954
0.002750003,-0.353597733
0.002750004,-0.353603292
0.002750006,-0.353614408
0.00275001,-0.353636639
0.002750018,-0.353681095
0.002750035,-0.353769987
0.002750067,-0.353947682
0.002750133,-0.354302723
0.002750264,-0.355011411
0.002750526,-0.356423227
0.002751051,-0.359224771
0.002752099,-0.364740643
0.002754196,-0.375432488
0.002758391,-0.395524987
0.002766779,-0.431044881
0.002783556,-0.486775391
0.002808556,-0.542065235
0.002833556,-0.575239141
0.002858556,-0.595143484
0.002875001,-0.603576323
0.002875001,-0.603576416
0.002875001,-0.603576702
0.002875002,-0.603577873
0.002875002,-0.603579277
0.002875002,-0.603579711
0.002875002,-0.603580579
0.002875003,-0.603582316
0.002875003,-0.603585791
0.002875004,-0.603592739
0.002875007,-0.603606634
0.002875012,-0.603634424
0.002875022,-0.603689994
0.002875043,-0.603801099
0.002875084,-0.604023175
0.002875166,-0.60446678
0.00287533,-0.605351813
0.002875657,-0.607113207
0.002876313,-0.610601592
0.002877623,-0.617442966
0.002880245,-0.630601431
0.002885488,-0.654951817
0.002895973,-0.696719596
0.002916945,-0.758532675
0.002941945,-0.805119605
0.002966945,-0.833071763
0.002991945,-0.849843057
0.003,-0.853593742
0.003,-0.853593434
0.003,-0.85359212
0.003000001,-0.853585291
0.003000001,-0.853576495
0.003000001,-0.853573729
0.003000001,-0.853568198
0.003000002,-0.853557135
0.003000002,-0.85353501
0.003000003,-0.85349076
0.003000006,-0.853402263
0.003000011,-0.853225284
0.003000021,-0.85287138
0.003000042,-0.852163788
0.003000083,-0.850749475
0.003000165,-0.847924321
0.003000329,-0.842287878
0.003000656,-0.831070218
0.003001312,-0.808854011
0.003002622,-0.765283871
0.003005244,-0.681482557
0.003010487,-0.526404108
0.003020972,-0.260400831
0.003041944,0.133263417
0.003066944,0.42995805
0.003091944,0.60797483
0.003116944,0.714784898
0.003125001,0.738677084
0.003125001,0.738677307
0.003125001,0.738677652
0.003125002,0.738677743
0.003125002,0.738677286
0.003125002,0.738677104
0.003125002,0.73867674
0.003125003,0.738676013
0.003125003,0.738674558
0.003125004,0.738671648
0.003125007,0.738665828
0.003125012,0.738654189
0.003125022,0.738630915
0.003125043,0.738584381
0.003125084,0.738491371
0.003125166,0.738305579
0.00312533,0.737934907
0.003125657,0.737197194
0.003126313,0.735736178
0.003127623,0.732870851
0.003130245,0.727359782
0.003135488,0.717161276
0.003145973,0.699667962
0.003166945,0.673779213
0.003191945,0.654267528
0.003216945,0.642560516
0.003241945,0.63553631
0.00325,0.633965436
0.00325,0.633965468
0.00325,0.633965632
0.003250001,0.633966561
0.003250001,0.633967782
0.003250001,0.633968104
0.003250001,0.633968619
0.003250002,0.633968881
0.003250002,0.63396757
0.003250002,0.633967239
0.003250002,0.633966576
0.003250002,0.63396525
0.003250003,0.633962598
0.003250004,0.633957295
0.003250006,0.633946688
0.00325001,0.633925476
0.003250018,0.633883057
0.003250035,0.63379824
0.003250067,0.63362869
0.003250133,0.633289922
0.003250264,0.632613717
0.003250526,0.63126661
0.003251051,0.628593475
0.003252099,0.623330422
0.003254196,0.613128636
0.003258391,0.593957072
0.003266779,0.560065225
0.003283556,0.506889111
0.003308556,0.454133467
0.003333556,0.42248008
0.003358556,0.403488048
0.003375001,0.395441726
0.003375001,0.395441636
0.003375001,0.395441354
0.003375002,0.39544019
0.003375002,0.395438793
0.003375002,0.39543836
0.003375002,0.395437494
0.003375003,0.395435764
0.003375003,0.395432302
0.003375004,0.395425379
0.003375007,0.395411534
0.003375012,0.395383845
0.003375022,0.395328476
0.003375043,0.395217772
0.003375084,0.3949965
0.003375166,0.3945545
0.00337533,0.393672669
